Item No.,Time Period,Phase,Row Type,Type of Work,Contractor Name,Scheduled Original,Scheduled Change Orders,Scheduled Current,Work Completed From Previous Application,Work Completed This Period,Materials Presently Stored,Total Completed and Stored,% (G / C),Balance to Finish (C-G),Retainage (If Variable Rate)
042,2/28/26,TEMP FIRE - SITE INFRASTRUCTURE,line_item,DESIGN ESCALATION,,79066.0,0.0,79066.0,0,0.0,0.0,0,0,79066.0,
043,2/28/26,TEMP FIRE - SITE INFRASTRUCTURE,line_item,BUILDER'S RISK,,339.0,0.0,339.0,0,0.0,0.0,0,0,339.0,
044,2/28/26,TEMP FIRE - SITE INFRASTRUCTURE,line_item,BUSINESS LICENSE/PERMITS,,15569.0,0.0,15569.0,0,0.0,0.0,0,0,15569.0,
045,2/28/26,TEMP FIRE - SITE INFRASTRUCTURE,line_item,CCIP,,93072.0,0.0,93072.0,82117,0.0,0.0,82117,88,10955.0,
046,2/28/26,TEMP FIRE - SITE INFRASTRUCTURE,line_item,SDI,,45689.0,0.0,45689.0,40311,0.0,0.0,40311,88,5378.0,
047,2/28/26,TEMP FIRE - SITE INFRASTRUCTURE,line_item,FEE,,110818.0,0.0,110818.0,58600,8000.0,0.0,66600,60,44218.0,
048,2/28/26,FLTL - FLIGHTLINE STALLS,line_item,UNCOMMITTED SUB COST,,30096465.0,-648075.0,29448390.0,0,0.0,0.0,0,0,29448390.0,
049,2/28/26,FLTL - FLIGHTLINE STALLS,line_item,EARTHWORK & UTILITIES,LANDMARK,6943623.0,10007950.0,16951573.0,10514875,2000542.0,0.0,12515417,74,4436156.0,625771.0
050,2/28/26,FLTL - FLIGHTLINE STALLS,line_item,PSI FLIGHTLINE PAVING,INDEPENDENCE PAVING,15230000.0,16864350.0,32094350.0,2937500,2437788.0,0.0,5375288,17,26719062.0,268764.0
051,2/28/26,FLTL - FLIGHTLINE STALLS,line_item,DEMOLITION,DECO,580000.0,10575.0,590575.0,576912,0.0,0.0,576912,98,13663.0,28846.0
052,2/28/26,FLTL - FLIGHTLINE STALLS,line_item,P501QC PROGRAM,INSIGHT,297500.0,0.0,297500.0,0,0.0,0.0,0,0,297500.0,
053,2/28/26,FLTL - FLIGHTLINE STALLS,line_item,BLAST DEFLECTORS,BULLZEYE,3966147.0,0.0,3966147.0,1822019,0.0,0.0,1822019,46,2144128.0,91101.0
054,2/28/26,FLTL - FLIGHTLINE STALLS,line_item,PERMANENT FENCING,MANER FENCING,175350.0,41384.0,216734.0,37880,0.0,0.0,37880,17,178854.0,1894.0
055,2/28/26,FLTL - FLIGHTLINE STALLS,line_item,DABICO AIRPORT SOLUTIONS,,3078222.0,4723758.0,7801980.0,2308666,845676.0,0.0,3154342,40,4647638.0,
056,2/28/26,FLTL - FLIGHTLINE STALLS,line_item,ELECTRICAL,FEYEN ZYLSTRA,8946158.0,13258124.0,22204282.0,6581158,0.0,0.0,6581158,30,15623124.0,329058.0
057,2/28/26,FLTL - FLIGHTLINE STALLS,line_item,LANDSCAPING,YELLOWSTONE LANDSCAPE,230193.0,0.0,230193.0,0,0.0,0.0,0,0,230193.0,
058,2/28/26,FLTL - FLIGHTLINE STALLS,line_item,STEEL,STEELWORKS,2789144.0,0.0,2789144.0,20000,135795.0,98209.0,254004,9,2535140.0,12700.0
059,2/28/26,FLTL - FLIGHTLINE STALLS,line_item,MECHANICAL & PLUMBING,BELL CONSTRUCTORS,8592373.0,3503677.0,12096050.0,0,0.0,0.0,0,0,12096050.0,
060,2/28/26,FLTL - FLIGHTLINE STALLS,line_item,FLOORING,SOURCE ONE,233574.0,0.0,233574.0,0,0.0,0.0,0,0,233574.0,
061,2/28/26,FLTL - FLIGHTLINE STALLS,line_item,"DOORS, FRAMES, HARDWARE",DFH COMMERCIAL,542100.0,0.0,542100.0,27105,0.0,0.0,27105,5,514995.0,1355.0
062,2/28/26,FLTL - FLIGHTLINE STALLS,line_item,ELECTRICAL,H&W ELECTRICAL,10731678.0,0.0,10731678.0,81500,0.0,0.0,81500,1,10650178.0,4075.0
063,2/28/26,FLTL - FLIGHTLINE STALLS,line_item,MILLWORK,COASTAL MILLWORK & SUPPLY,130451.0,0.0,130451.0,0,0.0,0.0,0,0,130451.0,
064,2/28/26,FLTL - FLIGHTLINE STALLS,line_item,SITEWORK,GULFSTREAM,161196.0,0.0,161196.0,0,0.0,0.0,0,0,161196.0,
065,2/28/26,FLTL - FLIGHTLINE STALLS,line_item,GENERAL REQUIREMENTS,,49713.0,1553532.0,1603245.0,0,0.0,0.0,0,0,1603245.0,
066,2/28/26,FLTL - FLIGHTLINE STALLS,line_item,GENERAL CONDITIONS,,5512938.0,36480.0,5549418.0,5512938,0.0,0.0,5512938,99,36480.0,
067,2/28/26,FLTL - FLIGHTLINE STALLS,line_item,BUILDER'S RISK,,302197.0,134934.0,437131.0,0,0.0,0.0,0,0,437131.0,
068,2/28/26,FLTL,line_item,BUSINESS LICENSE/PERMITS,,72106.0,171061.0,243167.0,0,0.0,0.0,0,0,243167.0,
