Item No.,Time Period,Phase,Row Type,Type of Work,Contractor Name,Scheduled Original,Scheduled Change Orders,Scheduled Current,Work Completed From Previous Application,Work Completed This Period,Materials Presently Stored,Total Completed and Stored,% (G / C),Balance to Finish (C-G),Retainage (If Variable Rate)
158,2/28/26,CUB,line_item,PRECAST CONCRETE PANELS,FLORENCE CONCRETE,310457.0,0.0,310457.0,24627,0.0,0.0,24627,8,285830.0,1231.0
159,2/28/26,CUB,line_item,MECHANICAL & PLUMBING,GALLO MECHANICAL,19738000.0,4704.0,19742704.0,7899954,1033338.0,0.0,8933292,45,10809412.0,446665.0
160,2/28/26,CUB,line_item,METAL PANELS WALLS,STEEL CLAD,261600.0,0.0,261600.0,16500,0.0,0.0,16500,6,245100.0,825.0
161,2/28/26,CUB,line_item,ROOFING,AAR OF NORTH CAROLINA,221270.0,0.0,221270.0,0,0.0,0.0,0,0,221270.0,
162,2/28/26,CUB,line_item,STRUCTURAL STEEL,SC STEEL,873025.0,0.0,873025.0,0,0.0,0.0,0,0,873025.0,
163,2/28/26,CUB,line_item,STRUCTURAL CONCRETE,ADVANCED CONCRETE,751078.0,0.0,751078.0,0,0.0,0.0,0,0,751078.0,
164,2/28/26,CUB,line_item,ELECTRICAL,HW ELECTRICAL,4691760.0,0.0,4691760.0,1221772,0.0,15000.0,1236772,26,3454988.0,61839.0
165,2/28/26,CUB,line_item,FIRE PROTECTION,SHAMBAUGH,321910.0,0.0,321910.0,16000,0.0,1000.0,17000,5,304910.0,850.0
166,2/28/26,CUB,line_item,OVERHEAD COILING DOORS,MINER LTD,177455.0,0.0,177455.0,0,0.0,0.0,0,0,177455.0,
167,2/28/26,CUB,line_item,GLASS & GLAZING,GLASSCORP,15559.0,0.0,15559.0,0,0.0,0.0,0,0,15559.0,
168,2/28/26,CUB,line_item,DOORS AND HARDWARE,UNIFIED DOORS,63702.0,0.0,63702.0,0,0.0,0.0,0,0,63702.0,
169,2/28/26,CUB,line_item,PAINTING,SAVAGE BROTHERS,71395.0,0.0,71395.0,0,0.0,0.0,0,0,71395.0,
170,2/28/26,CUB,line_item,DRYWALL AND FRAMING,PRECISION WALLS,119194.0,0.0,119194.0,0,0.0,0.0,0,0,119194.0,
171,2/28/26,CUB,line_item,JOINT SEALANTS,SAVAGE BROTHERS,12793.0,0.0,12793.0,0,0.0,0.0,0,0,12793.0,
172,2/28/26,CUB,line_item,MILLWORK,COASTAL MILLWORK & SUPPLY,18455.0,0.0,18455.0,2620,0.0,0.0,2620,14,15835.0,131.0
173,2/28/26,CUB,line_item,FLOORING,CERTIFIED FINISHES,82194.0,0.0,82194.0,0,0.0,0.0,0,0,82194.0,
174,2/28/26,CUB,line_item,PROCESS PIPING,ICON MECHANICAL LLC,3678160.0,0.0,3678160.0,0,0.0,0.0,0,0,3678160.0,
175,2/28/26,CUB,line_item,DIVISION 10 SPECIALTIES,PRECISION WALLS,9179.0,0.0,9179.0,0,0.0,0.0,0,0,9179.0,
176,2/28/26,CUB,line_item,GH CRANES,MONORAIL HOIST SYSTEM,150874.0,0.0,150874.0,0,0.0,0.0,0,0,150874.0,
177,2/28/26,CUB,line_item,GENERAL REQUIREMENTS,,763023.0,0.0,763023.0,0,0.0,0.0,0,0,763023.0,
178,2/28/26,CUB,line_item,BUILDER'S RISK,,78924.0,14.0,78938.0,0,0.0,0.0,0,0,78938.0,
179,2/28/26,CUB,line_item,BUSINESS LICENSE/PERMITS,,18832.0,17.0,18849.0,0,0.0,0.0,0,0,18849.0,
180,2/28/26,CUB,line_item,CCIP,,803855.0,434144.0,1237999.0,1237859,0.0,0.0,1237859,100,140.0,
181,2/28/26,CUB,line_item,SDI,,394621.0,213125.0,607746.0,607677,0.0,0.0,607677,100,69.0,
182,2/28/26,CUB,line_item,FEE,,892660.0,517670.0,1410330.0,396814,39000.0,0.0,435814,31,974516.0,
183,2/28/26,T1-T4,line_item,3RD PARTY TESTING,INSIGHT GROUP,238000.0,0.0,238000.0,0,0.0,0.0,0,0,238000.0,
184,2/28/26,T1-T4,line_item,DABICO AIRPORT SOLUTIONS,,741230.0,0.0,741230.0,555922,-185307.0,0.0,370615,50,370615.0,18531.0
185,2/28/26,T1-T4,line_item,SITEWORK,GULF STREAM CONSTRUCTION COMPANY,14902525.0,0.0,14902525.0,12520963,575835.0,0.0,13096798,88,1805727.0,654840.0
186,2/28/26,T1-T4,line_item,TEMP AND PERMANENT FENCING,MANER,239000.0,0.0,239000.0,81785,0.0,0.0,81785,34,157215.0,4089.0
187,2/28/26,T1-T4,line_item,MECHANICAL,C.R. HIPP CONSTRUCTION,1181587.0,0.0,1181587.0,667651,0.0,0.0,667651,57,513936.0,33383.0
188,2/28/26,T1-T4,line_item,CONCRETE PAVEMENT,INDEPENDENCE EXCAVATING,14253160.0,0.0,14253160.0,1162500,181250.0,0.0,1343750,9,12909410.0,67188.0
189,2/28/26,T1-T4,line_item,ELECTRICAL,ELDECO,7687900.0,0.0,7687900.0,2652550,1007860.0,0.0,3660410,48,4027490.0,183021.0
190,2/28/26,T1-T4,line_item,ALLOWANCES,GULFSTREAM,3900617.0,0.0,3900617.0,0,0.0,0.0,0,0,3900617.0,
191,2/28/26,T1-T4,line_item,GENERAL CONDITIONS,,1789794.0,0.0,1789794.0,0,0.0,0.0,0,0,1789794.0,
192,2/28/26,T1-T4,line_item,GENERAL REQUIREMENTS,,1033232.0,0.0,1033232.0,0,0.0,0.0,0,0,1033232.0,
193,2/28/26,T1-T4,line_item,BUSINESS LICENSE/PERMITS,,3679.0,0.0,3679.0,0,0.0,0.0,0,0,3679.0,
194,2/28/26,T1-T4,line_item,BUILDER'S RISK,,2901.0,0.0,2901.0,0,0.0,0.0,0,0,2901.0,
195,2/28/26,T1-T4,line_item,CCIP,,1266388.0,0.0,1266388.0,1236838,0.0,0.0,1236838,98,29550.0,
196,2/28/26,T1-T4,line_item,SDI,,621682.0,0.0,621682.0,607176,0.0,0.0,607176,98,14506.0,
197,2/28/26,T1-T4,line_item,FEE,,1507643.0,0.0,1507643.0,623500,32500.0,0.0,656000,44,851643.0,
198,2/28/26,DLO,line_item,ELECTRICAL,ELDECO,3954820.0,0.0,3954820.0,869870,1411580.0,0.0,2281450,58,1673370.0,114073.0
199,2/28/26,DLO,line_item,CONCRETE CUTTING,PENHALL,31582.0,0.0,31582.0,0,0.0,0.0,0,0,31582.0,
200,2/28/26,DLO,line_item,CONCRETE PAVING,INDEPENDENCE EXCAVATING,166500.0,0.0,166500.0,166500,0.0,0.0,166500,100,0.0,
201,2/28/26,DLO,line_item,DIRECTIONAL DRILL,PINNACLE,497794.0,0.0,497794.0,497794,0.0,0.0,497794,100,0.0,
202,2/28/26,DLO,line_item,GPR SCANNING,MCKIM CREED,12800.0,0.0,12800.0,0,0.0,0.0,0,0,12800.0,
203,2/28/26,DLO,line_item,CCIP,,128246.0,0.0,128246.0,128246,0.0,0.0,128246,100,0.0,
204,2/28/26,DLO,line_item,SDI,,62957.0,0.0,62957.0,62957,0.0,0.0,62957,100,0.0,
205,2/28/26,DLO,line_item,FEE,,152923.0,0.0,152923.0,48414,50500.0,0.0,98914,65,54009.0,
206,2/28/26,TEMP FIRE STATION,line_item,CONCRETE,LITHKO,458700.0,0.0,458700.0,0,0.0,0.0,0,0,458700.0,
207,2/28/26,TEMP FIRE STATION,line_item,TEMP FIRE STATION,SPRUNG INSTANT,1522864.0,0.0,1522864.0,748932,0.0,0.0,748932,49,773932.0,37447.0
208,2/28/26,TEMP FIRE STATION,line_item,FIRE SPRINKLER,VSC FIRE & SECURITY,151127.0,0.0,151127.0,2110,0.0,0.0,2110,1,149017.0,106.0
209,2/28/26,TEMP FIRE STATION,line_item,ELECTRICAL,FEYEN ZYLSTRA,1747890.0,0.0,1747890.0,1024278,351046.0,0.0,1375324,79,372566.0,68766.0
210,2/28/26,TEMP FIRE STATION,line_item,STEEL,STEELWORKS,82175.0,0.0,82175.0,51953,0.0,0.0,51953,63,30222.0,2598.0
211,2/28/26,TEMP FIRE STATION,line_item,FINAL CLEANING,,7000.0,0.0,7000.0,0,0.0,0.0,0,0,7000.0,
212,2/28/26,TEMP FIRE STATION,line_item,MILLWORK,COASTAL MILLWORK,95265.0,0.0,95265.0,3880,0.0,0.0,3880,4,91385.0,194.0
213,2/28/26,TEMP FIRE STATION,line_item,"DOORS, FRAMES AND HARDWARE",DFH COMMERCIAL,97119.0,0.0,97119.0,9712,29136.0,0.0,38848,40,58271.0,1942.0
214,2/28/26,TEMP FIRE STATION,line_item,DRYWALL,PRECISION DRYWALL,399185.0,0.0,399185.0,0,0.0,0.0,0,0,399185.0,
215,2/28/26,TEMP FIRE STATION,line_item,TILE & FLOORING,BONITZ,101715.0,0.0,101715.0,0,0.0,0.0,0,0,101715.0,
216,2/28/26,TEMP FIRE STATION,line_item,PAINTING,PETER'S PAINTING,43831.0,0.0,43831.0,0,0.0,0.0,0,0,43831.0,
217,2/28/26,TEMP FIRE STATION,line_item,DIVISION 10,PRECISION WALL,36973.0,0.0,36973.0,0,0.0,0.0,0,0,36973.0,
218,2/28/26,TEMP FIRE STATION,line_item,SPRUNG INSTALLER,NAVIGATOR,624597.0,0.0,624597.0,287143,0.0,0.0,287143,46,337454.0,14357.0
219,2/28/26,TEMP FIRE STATION,line_item,MECHANICAL/PLUMBING,JENNINGS,2085000.0,0.0,2085000.0,430200,138658.0,0.0,568858,27,1516142.0,28443.0
220,2/28/26,TEMP FIRE STATION,line_item,PERMANENT FENCING,MANER,24080.0,0.0,24080.0,16250,0.0,0.0,16250,67,7830.0,813.0
221,2/28/26,TEMP FIRE STATION,line_item,SIGNAGE,SIGNORAMA,10731.0,0.0,10731.0,0,0.0,0.0,0,0,10731.0,
222,2/28/26,TEMP FIRE STATION,line_item,APPLIANCES,ABT,21800.0,0.0,21800.0,0,0.0,0.0,0,0,21800.0,
223,2/28/26,TEMP FIRE STATION,line_item,TERMITE CONTROL,CAROLINA EXTERMINATOR,9125.0,0.0,9125.0,3125,0.0,0.0,3125,34,6000.0,156.0
224,2/28/26,TEMP FIRE STATION,line_item,FIRE STATION SOUTH - PRECONSTRUCTION SERVICES,,47892.0,0.0,47892.0,0,0.0,0.0,0,0,47892.0,
225,2/28/26,TEMP FIRE STATION,line_item,GENERAL REQUIREMENTS,,440257.0,0.0,440257.0,210000,0.0,0.0,210000,48,230257.0,
226,2/28/26,TEMP FIRE STATION,line_item,GENERAL CONDITIONS,,277500.0,0.0,277500.0,0,0.0,0.0,0,0,277500.0,
227,2/28/26,TEMP FIRE STATION,line_item,CONTINGENCY,,42797.0,0.0,42797.0,0,0.0,0.0,0,0,42797.0,
228,2/28/26,TEMP FIRE STATION,line_item,PERMIT,,46730.0,0.0,46730.0,35404,0.0,0.0,35404,76,11326.0,
229,2/28/26,TEMP FIRE,line_item,,BUILDER'S RISK,,,202.0,0,0.0,0.0,0,0,202.0,
230,2/28/26,TEMP FIRE,line_item,,BUSINESS LICENSE,,,31.0,0,0.0,0.0,0,0,31.0,
231,2/28/26,TEMP FIRE,line_item,,DESIGN ESCALATION,,,249690.0,0,0.0,0.0,0,0,249690.0,
232,2/28/26,TEMP FIRE,line_item,,CCIP,,,310208.0,308151,,,308151,99,2057.0,
233,2/28/26,TEMP FIRE,line_item,,SDI,,,152283.0,151273,,,151273,99,1010.0,
234,2/28/26,TEMP FIRE,line_item,,FEE,,396300.0,396300.0,128523,58500.0,,187023,47,209277.0,
,2/28/26,TEMP FIRE,grand_total,,,915480436.0,400427038.0,1315907474.0,375728020,45715866.0,1421526.0,422865412,32,893042062.0,15444309.0
