Item No.,Time Period,Phases,Type of work,Contractor name,SCHEDULED ORIGINAL,SCHEDULED CHANGE ORDERS,SCHEDULED CURRENT,WORK COMPLETED FROM PREVIOUS APPLICATION,WORK COMPLETED THIS PERIOD,MATERIALS PRESENTLY STORED,TOTAL COMPLETED AND STORED,% (G / C),Balance to Finish (C-G),RETAINAGE (If Variable Rate),Source Page,Review Notes
186,2/28/26,T1-T4,TEMP AND PERMANENT FENCING,MANER,0,239000,239000,81785,0,0,81785,34%,157215,4089,6,
187,2/28/26,T1-T4,MECHANICAL,C.R. HIPP CONSTRUCTION,0,1181587,1181587,667651,0,0,667651,57%,513936,33383,6,
188,2/28/26,T1-T4,CONCRETE PAVEMENT,INDEPENDENCE EXCAVATING,0,14253160,14253160,1162500,181250,0,1343750,9%,12909410,67188,7,
189,2/28/26,T1-T4,ELECTRICAL,ELDECO,0,7687900,7687900,2652550,1007860,0,3660410,48%,4027490,183021,7,
190,2/28/26,T1-T4,ALLOWANCES,GULFSTREAM,0,3900617,3900617,0,0,0,0,0%,3900617,0,7,
191,2/28/26,T1-T4,GENERAL CONDITIONS,,0,1789794,1789794,0,0,0,0,0%,1789794,0,7,
192,2/28/26,T1-T4,GENERAL REQUIREMENTS,,0,1033232,1033232,0,0,0,0,0%,1033232,0,7,
193,2/28/26,T1-T4,BUSINESS LICENSE/PERMITS,,0,3679,3679,0,0,0,0,0%,3679,0,7,
194,2/28/26,T1-T4,BUILDERS RISK,,0,2901,2901,0,0,0,0,0%,2901,0,7,
195,2/28/26,T1-T4,CCIP,,0,1266388,1266388,1236838,0,0,1236838,98%,29550,0,7,
196,2/28/26,T1-T4,SDI,,0,621682,621682,607176,0,0,607176,98%,14506,0,7,
197,2/28/26,T1-T4,FEE,,0,1507643,1507643,623500,32500,0,656000,44%,851643,0,7,
198,2/28/26,DLO,ELECTRICAL,ELDECO,0,3954820,3954820,869870,1411580,0,2281450,58%,1673370,114073,7,
199,2/28/26,DLO,CONCRETE CUTTING,PENHALL,0,31582,31582,0,0,0,0,0%,31582,0,7,
200,2/28/26,DLO,CONCRETE PAVING,INDEPENDENCE EXCAVATING,0,166500,166500,0,166500,0,166500,100%,0,8325,7,
201,2/28/26,DLO,DIRECTIONAL DRILL,PINNACLE,0,497794,497794,497794,0,0,497794,100%,0,0,7,
202,2/28/26,DLO,GPR SCANNING,MCKIM CREED,0,12800,12800,0,0,0,0,0%,12800,0,7,
203,2/28/26,DLO,CCIP,,0,128246,128246,128246,0,0,128246,100%,0,0,7,
204,2/28/26,DLO,SDI,,0,62957,62957,62957,0,0,62957,100%,0,0,7,
205,2/28/26,DLO,FEE,,0,152923,152923,48414,50500,0,98914,65%,54009,0,7,
206,2/28/26,TEMP FIRE STATION,CONCRETE,LITHKO,0,458700,458700,235688,223012,0,458700,0%,0,22935,7,% shown as 0% though total equals current.
207,2/28/26,TEMP FIRE STATION,TEMP FIRE STATION,SPRUNG INSTANT,0,1522864,1522864,748932,0,0,748932,49%,773932,37447,7,
208,2/28/26,TEMP FIRE STATION,FIRE SPRINKLER,VSC FIRE & SECURITY,0,151127,151127,0,2110,0,2110,1%,149017,106,7,
209,2/28/26,TEMP FIRE STATION,ELECTRICAL,FYEN ZYLSTRA,0,1747890,1747890,1024278,351046,0,1375324,79%,372566,68766,7,
210,2/28/26,TEMP FIRE STATION,STEEL,STEELWORKS,0,82175,82175,51953,0,0,51953,63%,30222,2598,7,
211,2/28/26,TEMP FIRE STATION,FINAL CLEANING,,0,7000,7000,0,0,0,0,0%,7000,0,7,
212,2/28/26,TEMP FIRE STATION,MILLWORK,COASTAL MILLWORK,0,95265,95265,0,3880,0,3880,4%,91385,194,7,
213,2/28/26,TEMP FIRE STATION,"DOORS, FRAMES AND HARDWARE",DFH COMMERCIAL,0,97119,97119,9712,29136,0,38848,40%,58271,1942,7,
214,2/28/26,TEMP FIRE STATION,DRYWALL,PRECISION DRYWALL,0,399185,399185,0,0,0,0,0%,399185,0,7,
215,2/28/26,TEMP FIRE STATION,TILE & FLOORING,BONITZ,0,101715,101715,0,0,0,0,0%,101715,0,7,
216,2/28/26,TEMP FIRE STATION,PAINTING,PETERS PAINTING,0,43831,43831,0,0,0,0,0%,43831,0,7,
217,2/28/26,TEMP FIRE STATION,DIVISION 10,PRECISION WALL,0,36973,36973,0,0,0,0,0%,36973,0,7,
218,2/28/26,TEMP FIRE STATION,SPRUNG INSTALLER,NAVIGATOR,0,624597,624597,0,287143,0,287143,46%,337454,14357,7,
219,2/28/26,TEMP FIRE STATION,MECHANICAL/PLUMBING,JENNINGS,0,2085000,2085000,430200,138658,0,568858,27%,1516142,28443,7,
220,2/28/26,TEMP FIRE STATION,PERMANENT FENCING,MANER,0,24080,24080,16250,0,0,16250,67%,7830,813,7,
221,2/28/26,TEMP FIRE STATION,SIGNAGE,SIGNORAMA,0,10731,10731,0,0,0,0,0%,10731,0,7,
222,2/28/26,TEMP FIRE STATION,APPLIANCES,ABT,0,21800,21800,0,0,0,0,0%,21800,0,7,
223,2/28/26,TEMP FIRE STATION,TERMITE CONTROL,CAROLINA EXTERMINATOR,0,9125,9125,0,3125,0,3125,34%,6000,156,7,
224,2/28/26,TEMP FIRE STATION,FIRE STATION SOUTH,RECONSTRUCTION SERVICES,0,47892,47892,0,0,0,0,0%,47892,0,7,
225,2/28/26,TEMP FIRE STATION,GENERAL REQUIREMENTS,,0,440257,440257,210000,0,0,210000,48%,230257,0,7,
226,2/28/26,TEMP FIRE STATION,GENERAL CONDITIONS,,0,277500,277500,0,0,0,0,0%,277500,0,7,
227,2/28/26,TEMP FIRE STATION,CONTINGENCY,,0,42797,42797,0,0,0,0,0%,42797,0,7,
228,2/28/26,TEMP FIRE STATION,PERMIT,,0,46730,46730,35404,0,0,35404,76%,11326,0,7,
229,2/28/26,TEMP FIRE STATION,BUILDERS RISK,,0,202,202,0,0,0,0,0%,202,0,8,
230,2/28/26,TEMP FIRE STATION,BUSINESS LICENSE,,0,31,31,0,0,0,0,0%,31,0,8,
231,2/28/26,TEMP FIRE STATION,DESIGN ESCALATION,,0,249690,249690,0,0,0,0,0%,249690,0,8,
232,2/28/26,TEMP FIRE STATION,CCIP,,0,310208,310208,308151,0,0,308151,99%,2057,0,8,
233,2/28/26,TEMP FIRE STATION,SDI,,0,152283,152283,151273,0,0,151273,99%,1010,0,8,
234,2/28/26,TEMP FIRE STATION,FEE,,0,396300,396300,128523,58500,0,187023,47%,209277,0,8,
