Item No.,Time Period,Phases,Type of work,Contractor name,SCHEDULED ORIGINAL,SCHEDULED CHANGE ORDERS,SCHEDULED CURRENT,WORK COMPLETED FROM PREVIOUS APPLICATION,WORK COMPLETED THIS PERIOD,MATERIALS PRESENTLY STORED,TOTAL COMPLETED AND STORED,% (G / C),Balance to Finish (C-G),RETAINAGE (If Variable Rate),Source Page,Review Notes
175,3/31/26,CUB - CUB,MECHANICAL & PLUMBING,GALLO MECHANICAL,19738000,4704,19742704,8933292,263217,0,9196509,47%,10546195,459825,6,
176,3/31/26,CUB - CUB,,,261600,0,261600,16500,0,0,16500,6%,245100,825,6,
177,3/31/26,METAL PANELS WALLS(STEEL CLAD),ROOFING,AAR OF NORTH CAROLINA,221270,0,221270,0,0,0,0,0%,221270,0,6,
178,3/31/26,METAL PANELS WALLS(STEEL CLAD),STRUCTURAL STEEL,SC STEEL,873025,0,873025,280725,12566,74535,367826,42%,505199,18391,6,
179,3/31/26,METAL PANELS WALLS(STEEL CLAD),STRUCTURAL CONCRETE,ADVANCED CONCRETE,751078,0,751078,0,0,0,0,0%,751078,0,6,
180,3/31/26,METAL PANELS WALLS(STEEL CLAD),ELECTRICAL,HW ELECTRICAL,4691760,0,4691760,1236772,50000,0,1286772,27%,3404988,64339,6,
181,3/31/26,METAL PANELS WALLS(STEEL CLAD),FIRE PROTECTION,SHAMBAUGH,321910,0,321910,17000,0,0,17000,5%,304910,850,6,
182,3/31/26,METAL PANELS WALLS(STEEL CLAD),OVERHEAD COILING DOORS,MINER LTD,177455,0,177455,0,0,0,0,0%,177455,0,6,
183,3/31/26,METAL PANELS WALLS(STEEL CLAD),,,15559,0,15559,0,0,0,0,0%,15559,0,6,
184,3/31/26,GLASS & GLAZING(GLASSCORP),DOORS AND HARDWARE,UNIFIED DOORS,63702,0,63702,0,0,0,0,0%,63702,0,6,
185,3/31/26,GLASS & GLAZING(GLASSCORP),PAINTING,SAVAGE BROTHERS,71395,0,71395,0,0,0,0,0%,71395,0,6,
186,3/31/26,GLASS & GLAZING(GLASSCORP),DRYWALL AND FRAMING,PRECISION WALLS,119194,0,119194,0,0,0,0,0%,119194,0,6,
187,3/31/26,GLASS & GLAZING(GLASSCORP),JOINT SEALANTS,SAVAGE BROTHERS,12793,0,12793,0,0,0,0,0%,12793,0,6,
188,3/31/26,GLASS & GLAZING(GLASSCORP),MILLWORK,COASTAL MILLWORK & SUPPLY,18455,0,18455,2620,0,0,2620,14%,15835,131,6,
189,3/31/26,GLASS & GLAZING(GLASSCORP),FLOORING,CERTIFIED FINISHES,82194,0,82194,0,0,0,0,0%,82194,0,6,
190,3/31/26,GLASS & GLAZING(GLASSCORP),,,3678160,0,3678160,0,0,0,0,0%,3678160,0,6,
191,3/31/26,PROCESS PIPING(ICON MECHANICAL LLC),DIVISION10 SPECIALTIES,PRECISION WALLS,9179,0,9179,0,0,0,0,0%,9179,0,6,
192,3/31/26,PROCESS PIPING(ICON MECHANICAL LLC),,,150874,0,150874,0,0,0,0,0%,150874,0,6,
193,3/31/26,GH CRANES(MONORAIL HOIST SYSTEM),GENERAL REQUIREMENTS,,763023,0,763023,0,0,0,0,0%,763023,0,6,
194,3/31/26,GH CRANES(MONORAIL HOIST SYSTEM),BUILDER'S RISK,,78924,14,78938,0,0,0,0,0%,78938,0,6,
195,3/31/26,GH CRANES(MONORAIL HOIST SYSTEM),BUSINESS LICENSE/PERMITS,,18832,17,18849,0,0,0,0,0%,18849,0,6,
196,3/31/26,GH CRANES(MONORAIL HOIST SYSTEM),CCIP,,803855,434144,1237999,1237859,0,0,1237859,100%,140,0,6,
197,3/31/26,GH CRANES(MONORAIL HOIST SYSTEM),SDI,,394621,213125,607746,607677,0,0,607677,100%,69,0,7,
198,3/31/26,GH CRANES(MONORAIL HOIST SYSTEM),FEE,,892660,517670,1410330,435814,21500,0,457314,32%,953016,0,7,
199,3/31/26,GH CRANES(MONORAIL HOIST SYSTEM),3RD PARTY TESTING,INSIGHT GROUP,0,238000,238000,0,0,0,0,0%,238000,0,7,
200,3/31/26,GH CRANES(MONORAIL HOIST SYSTEM),DABICO AIRPORT SOLUTIONS,DABICO AIRPORT SOLUTIONS,0,741230,741230,370615,0,0,370615,50%,370615,18531,7,
201,3/31/26,GH CRANES(MONORAIL HOIST SYSTEM),,,0,15032840,15032840,13096798,967320,0,14064118,94%,968722,703206,7,
202,3/31/26,SITEWORK(GULF STREAM CONSTRUCTION COMPANY),TEMP AND PERMANENT FENCING,MANER,0,239000,239000,81785,0,0,81785,34%,157215,4089,7,
203,3/31/26,SITEWORK(GULF STREAM CONSTRUCTION COMPANY),MECHANICAL,C.R. HIPP CONSTRUCTION,0,1181587,1181587,667651,264465,0,932116,79%,249471,46606,7,
204,3/31/26,SITEWORK(GULF STREAM CONSTRUCTION COMPANY),CONCRETE PAVEMENT,INDEPENDENCE EXCAVATING,0,14253160,14253160,1343750,3418960,0,4762710,33%,9490450,238136,7,
205,3/31/26,SITEWORK(GULF STREAM CONSTRUCTION COMPANY),ELECTRICAL - ELDECO,ELECTRICAL - ELDECO,0,7702059,7702059,3660410,1729381,0,5389791,70%,2312268,269490,7,
206,3/31/26,SITEWORK(GULF STREAM CONSTRUCTION COMPANY),ALLOWANCES,GULFSTREAM,0,3756143,3756143,0,0,0,0,0%,3756143,0,7,
207,3/31/26,SITEWORK(GULF STREAM CONSTRUCTION COMPANY),GENERAL CONDITIONS,,0,1789794,1789794,0,0,0,0,0%,1789794,0,7,
208,3/31/26,SITEWORK(GULF STREAM CONSTRUCTION COMPANY),,,0,1033232,1033232,0,0,0,0,0%,1033232,0,7,
209,3/31/26,GENERAL REQUIREMENTS,BUSINESS LICENSE/PERMITS,,0,3679,3679,0,0,0,0,0%,3679,0,7,
210,3/31/26,GENERAL REQUIREMENTS,BUILDER'S RISK,,0,2901,2901,0,0,0,0,0%,2901,0,7,
211,3/31/26,GENERAL REQUIREMENTS,CCIP,,0,1266388,1266388,1236838,0,0,1236838,98%,29550,0,7,
212,3/31/26,GENERAL REQUIREMENTS,SDI,,0,621682,621682,607176,0,0,607176,98%,14506,0,7,
213,3/31/26,GENERAL REQUIREMENTS,FEE,,0,1507643,1507643,656000,210000,0,866000,57%,641643,0,7,
214,3/31/26,GENERAL REQUIREMENTS,,,0,3954820,3954820,2281450,1423470,0,3704920,94%,249900,185246,7,
215,3/31/26,ELECTRICAL(ELDECO),CONCRETE CUTTING,PENHALL,0,31582,31582,0,0,0,0,0%,31582,0,7,
216,3/31/26,ELECTRICAL(ELDECO),CONCRETE PAVING,INDEPENDENCE EXCAVATING,0,166500,166500,166500,0,0,166500,100%,0,8325,7,
217,3/31/26,ELECTRICAL(ELDECO),DIRECTIONAL DRILL,PINNACLE,0,497794,497794,497794,0,0,497794,100%,0,0,7,
218,3/31/26,ELECTRICAL(ELDECO),GPR SCANNING - MCKIM CREED,GPR SCANNING - MCKIM CREED,0,12800,12800,0,0,0,0,0%,12800,0,7,
219,3/31/26,ELECTRICAL(ELDECO),CCIP,,0,128246,128246,128246,0,0,128246,100%,0,0,7,
220,3/31/26,ELECTRICAL(ELDECO),SDI,,0,62957,62957,62957,0,0,62957,100%,0,0,7,
221,3/31/26,ELECTRICAL(ELDECO),,,0,152923,152923,98914,45000,0,143914,94%,9009,0,7,
222,3/31/26,TEMP FIRE STATION,CONCRETE,LITHKO,0,465099,465099,369495,95544,0,465039,0%,60,23252,7,
223,3/31/26,TEMP FIRE STATION,TEMP FIRE STATION,SPRUNG INSTANT,0,1522864,1522864,748932,685022,0,1433954,94%,88910,0,7,
224,3/31/26,TEMP FIRE STATION,FIRE SPRINKLER,VSC FIRE & SECURITY,0,151127,151127,2110,56206,0,58316,39%,92811,2916,7,
225,3/31/26,TEMP FIRE STATION,ELECTRICAL,FEYEN ZYLSTRA,0,1749270,1749270,1375324,111521,0,1486845,85%,262425,74342,7,
226,3/31/26,TEMP FIRE STATION,STEEL,STEELWORKS,0,82175,82175,51953,0,0,51953,63%,30222,2598,7,
227,3/31/26,TEMP FIRE STATION,FINAL CLEANING,,0,7000,7000,0,0,0,0,0%,7000,0,7,
228,3/31/26,TEMP FIRE STATION,,,0,95265,95265,3880,0,0,3880,4%,91385,194,7,
229,3/31/26,MILLWORK(COASTAL MILLWORK),"DOORS, FRAMES AND HARDWARE",DFH COMMERCIAL,0,97119,97119,38848,0,0,38848,40%,58271,1942,7,
230,3/31/26,MILLWORK(COASTAL MILLWORK),,,0,0,0,0,0,0,0,0%,0,13479,7,
231,3/31/26,MILLWORK(COASTAL MILLWORK),TILE & FLOORING,BONITZ,0,101715,101715,0,0,0,0,0%,101715,0,7,
232,3/31/26,MILLWORK(COASTAL MILLWORK),PAINTING,PETER'S PAINTING,0,43831,43831,0,0,0,0,0%,43831,0,7,
233,3/31/26,MILLWORK(COASTAL MILLWORK),DIVISION10,PRECISION WALL,0,36973,36973,0,0,0,0,0%,36973,0,7,
234,3/31/26,MILLWORK(COASTAL MILLWORK),SPRUNG INSTALLER,NAVIGATOR,0,624597,624597,287143,0,0,287143,46%,337454,14357,8,
235,3/31/26,MILLWORK(COASTAL MILLWORK),MECHANICAL/PLUMBING,JENNINGS,0,2103171,2103171,568858,807000,0,1375858,65%,727313,68793,8,
236,3/31/26,MILLWORK(COASTAL MILLWORK),PERMANENT FENCING,MANER,0,24080,24080,16250,0,0,16250,67%,7830,813,8,
237,3/31/26,MILLWORK(COASTAL MILLWORK),SIGNAGE,SIGNORAMA,0,10731,10731,0,0,0,0,0%,10731,0,8,
238,3/31/26,MILLWORK(COASTAL MILLWORK),APPLIANCES,ABT,0,21800,21800,0,0,0,0,0%,21800,0,8,
239,3/31/26,MILLWORK(COASTAL MILLWORK),TERMITE CONTROL,CAROLINA EXTERMINATING,0,0,0,3125,-3125,0,0,0%,0,0,8,
240,3/31/26,MILLWORK(COASTAL MILLWORK),BASTION GROUP,BASTION GROUP,0,174650,174650,0,111003,0,111003,64%,63647,5550,8,
241,3/31/26,MILLWORK(COASTAL MILLWORK),GENERAL REQUIREMENTS,,0,440257,440257,210000,0,0,210000,48%,230257,0,8,
242,3/31/26,MILLWORK(COASTAL MILLWORK),GENERAL CONDITIONS,,0,321673,321673,0,0,0,0,0%,321673,0,8,
243,3/31/26,MILLWORK(COASTAL MILLWORK),CONTINGENCY,,0,42797,42797,0,0,0,0,0%,42797,0,8,
244,3/31/26,MILLWORK(COASTAL MILLWORK),PERMIT,,0,46937,46937,35404,0,0,35404,75%,11533,0,8,
245,3/31/26,MILLWORK(COASTAL MILLWORK),BUILDER'S RISK,,0,403,403,0,0,0,0,0%,403,0,8,
246,3/31/26,MILLWORK(COASTAL MILLWORK),,,0,63,63,0,0,0,0,0%,63,0,8,
247,3/31/26,BUSINESS LICENSE,DESIGN ESCALATION,,0,85482,85482,0,0,0,0,0%,85482,0,8,
248,3/31/26,BUSINESS LICENSE,CCIP,,0,310261,310261,308151,0,0,308151,99%,2110,0,8,
249,3/31/26,BUSINESS LICENSE,SDI,,0,153309,153309,151273,0,0,151273,99%,2036,0,8,
250,3/31/26,BUSINESS LICENSE,FEE,,0,371233,371233,183523,71000,0,254523,69%,116710,0,8,
