Item No.,Time Period,Phases,Type of work,Contractor name,SCHEDULED ORIGINAL,SCHEDULED CHANGE ORDERS,SCHEDULED CURRENT,WORK COMPLETED FROM PREVIOUS APPLICATION,WORK COMPLETED THIS PERIOD,MATERIALS PRESENTLY STORED,TOTAL COMPLETED AND STORED,% (G / C),Balance to Finish (C-G),RETAINAGE (If Variable Rate),Source Page,Review Notes
039,3/31/26,EARTHWORK & UTILITIES SP4(GULFSTREAM),FEE,,1469442,1810713,3280155,1789648,350000,0,2139648,65%,1140507,0,3,
040,3/31/26,TEMP FIRE - SITE INFRASTRUCTURE,CONCRETE,LITHKO,0,473681,473681,0,33000,0,33000,7%,440681,1650,3,
041,3/31/26,TEMP FIRE - SITE INFRASTRUCTURE,,,0,1481418,1481418,1195739,131000,0,1326739,90%,154679,66337,3,
042,3/31/26,ELECTRICAL(FEYEN ZYLSTRA),SITEWORK,OL THOMPSON,0,1053843,1053843,770799,54901,0,825700,78%,228143,41285,3,
043,3/31/26,ELECTRICAL(FEYEN ZYLSTRA),,,0,14160,14160,14160,0,0,14160,100%,0,708,3,
044,3/31/26,PERMANENT FENCING(MANER),TERMITE CONTROL,CAROLINA EXTERMINATING,0,9575,9575,0,6575,0,6575,69%,3000,329,3,
045,3/31/26,PERMANENT FENCING(MANER),GENERAL REQUIREMENTS,,0,92500,92500,0,0,0,0,0%,92500,0,3,
046,3/31/26,PERMANENT FENCING(MANER),GENERAL CONDITIONS,,0,146511,146511,0,96697,0,96697,66%,49814,0,3,
047,3/31/26,PERMANENT FENCING(MANER),DESIGN ESCALATION,,0,69491,69491,0,0,0,0,0%,69491,0,3,
048,3/31/26,PERMANENT FENCING(MANER),BUILDER'S RISK,,0,345,345,0,0,0,0,0%,345,0,3,
049,3/31/26,PERMANENT FENCING(MANER),BUSINESS LICENSE/PERMITS,,0,15576,15576,0,0,0,0,0%,15576,0,3,
050,3/31/26,PERMANENT FENCING(MANER),,,0,93130,93130,82117,0,0,82117,88%,11013,0,3,
051,3/31/26,PERMANENT FENCING(MANER),SDI,,0,45717,45717,40311,0,0,40311,88%,5406,0,3,
052,3/31/26,PERMANENT FENCING(MANER),FEE,,0,110882,110882,66600,9500,0,76100,69%,34782,0,3,
053,3/31/26,FLTL - FLIGHTLINE STALLS,UNCOMMITTED SUB COST,,3438944,19049095,22488039,0,0,0,0,0%,22488039,0,3,
054,3/31/26,FLTL - FLIGHTLINE STALLS,EARTHWORK & UTILITIES,LANDMARK,6943623,10048593,16992216,12515417,2095399,0,14610816,86%,2381400,730541,3,
055,3/31/26,FLTL - FLIGHTLINE STALLS,PSI FLIGHTLINE PAVING,INDEPENDENCE PAVING,15230000,16864350,32094350,5375288,0,0,5375288,17%,26719062,268764,3,
056,3/31/26,FLTL - FLIGHTLINE STALLS,,,580000,10575,590575,576912,0,0,576912,98%,13663,28846,3,
057,3/31/26,DEMOLITION(DECO),P501QC PROGRAM,INSIGHT,297500,297500,595000,0,0,0,0,0%,595000,0,3,
058,3/31/26,DEMOLITION(DECO),BLAST DEFLECTORS,BULLZEYE,3966147,0,3966147,1822019,1055871,0,2877890,73%,1088257,143895,3,
059,3/31/26,DEMOLITION(DECO),PERMANENT FENCING - MANER FENCING,PERMANENT FENCING - MANER FENCING,175350,41384,216734,37880,41384,0,79264,37%,137470,3963,3,
060,3/31/26,DEMOLITION(DECO),ELECTRICAL LIDS,DABICO AIRPORT SOLUTIONS,3078222,4723758,7801980,3154342,0,0,3154342,40%,4647638,0,3,
061,3/31/26,DEMOLITION(DECO),ELECTRICAL LIDS SOI,DABICO AIRPORT SOLUTIONS,3720065,0,3720065,0,0,0,0,0%,3720065,0,3,
062,3/31/26,DEMOLITION(DECO),ELECTRICAL -,FEYEN ZYLSTRA,8946158,13258124,22204282,6581158,0,0,6581158,30%,15623124,329058,3,
063,3/31/26,DEMOLITION(DECO),,,230193,0,230193,0,0,0,0,0%,230193,0,3,
064,3/31/26,LANDSCAPING(YELLOWSTONE LANDSCAPE),STEEL,STEELWORKS,2789144,0,2789144,254004,213434,0,467438,17%,2321706,23372,3,
065,3/31/26,LANDSCAPING(YELLOWSTONE LANDSCAPE),MECHANICAL & PLUMBING,BELL CONSTRUCTORS,8592373,3503677,12096050,0,0,0,0,0%,12096050,0,3,
066,3/31/26,LANDSCAPING(YELLOWSTONE LANDSCAPE),FLOORING,SOURCE ONE,233574,0,233574,0,0,0,0,0%,233574,0,3,
067,3/31/26,LANDSCAPING(YELLOWSTONE LANDSCAPE),"DOORS, FRAMES, HARDWARE",DFH COMMERCIAL,542100,0,542100,27105,65000,0,92105,17%,449995,4605,3,
068,3/31/26,LANDSCAPING(YELLOWSTONE LANDSCAPE),ELECTRICAL -,H&W ELECTRICAL,10731678,0,10731678,81500,120000,15365,216865,2%,10514813,10843,3,
069,3/31/26,LANDSCAPING(YELLOWSTONE LANDSCAPE),MILLWORK,COASTAL MILLWORK & SUPPLY,130451,0,130451,0,0,0,0,0%,130451,0,3,
070,3/31/26,LANDSCAPING(YELLOWSTONE LANDSCAPE),,,19470216,0,19470216,0,0,0,0,0%,19470216,0,3,
071,3/31/26,EARTHWORK & UTILITIES SP4(GULFSTREAM),CONCRETE,LITHKO CONCRETE,1223000,0,1223000,0,0,0,0,0%,1223000,0,3,
072,3/31/26,EARTHWORK & UTILITIES SP4(GULFSTREAM),MASONRY,MIDSTATE MASONRY,75000,0,75000,0,25350,0,25350,34%,49650,1268,3,
073,3/31/26,EARTHWORK & UTILITIES SP4(GULFSTREAM),ROOFING,CBC OF CHARLESTON,962064,0,962064,0,0,0,0,0%,962064,0,3,
074,3/31/26,EARTHWORK & UTILITIES SP4(GULFSTREAM),OVERHEAD DOORS,DOOR SYSTEMS OF CHARLESTON,325381,0,325381,0,0,0,0,0%,325381,0,3,
075,3/31/26,EARTHWORK & UTILITIES SP4(GULFSTREAM),PAINTING,SAVAGE BROTHERS,172876,0,172876,0,0,0,0,0%,172876,0,3,
076,3/31/26,EARTHWORK & UTILITIES SP4(GULFSTREAM),SPECIALTIES,PRECISION WALLS,277419,0,277419,0,0,0,0,0%,277419,0,3,
077,3/31/26,EARTHWORK & UTILITIES SP4(GULFSTREAM),FIRE PROTECTION,VSC FIRE,431500,0,431500,0,35000,0,35000,8%,396500,1750,4,
078,3/31/26,EARTHWORK & UTILITIES SP4(GULFSTREAM),SITEWORK,GULFSTREAM,0,161196,161196,0,0,0,0,0%,161196,0,4,
079,3/31/26,EARTHWORK & UTILITIES SP4(GULFSTREAM),GENERAL REQUIREMENTS,,49713,1553532,1603245,0,0,0,0,0%,1603245,0,4,
080,3/31/26,EARTHWORK & UTILITIES SP4(GULFSTREAM),GENERAL CONDITIONS,,5512938,36480,5549418,5512938,0,0,5512938,99%,36480,0,4,
