Item No.,Time Period,Phases,Type of work,Contractor name,SCHEDULED ORIGINAL,SCHEDULED CHANGE ORDERS,SCHEDULED CURRENT,WORK COMPLETED FROM PREVIOUS APPLICATION,WORK COMPLETED THIS PERIOD,MATERIALS PRESENTLY STORED,TOTAL COMPLETED AND STORED,% (G / C),Balance to Finish (C-G),RETAINAGE (If Variable Rate),Source Page,Review Notes
040,2/28/2026,SITE,GENERAL REQUIREMENTS,,,92500.0,92500.0,,,,,0,92500.0,,3,Phase shown under TEMP FIRE - SITE INFRASTRUCTURE subtotal label; abbreviated to SITE per row marker.
041,2/28/2026,SITE,GENERAL CONDITIONS,,,146511.0,146511.0,,,,,0,146511.0,,3,Phase shown under TEMP FIRE - SITE INFRASTRUCTURE subtotal label; abbreviated to SITE per row marker.
042,2/28/2026,SITE,DESIGN ESCALATION,,,79066.0,79066.0,,,,,0,79066.0,,3,Phase shown under TEMP FIRE - SITE INFRASTRUCTURE subtotal label; abbreviated to SITE per row marker.
043,2/28/2026,SITE,BUILDERS RISK,,,339.0,339.0,,,,,0,339.0,,3,Phase shown under TEMP FIRE - SITE INFRASTRUCTURE subtotal label; abbreviated to SITE per row marker.
044,2/28/2026,SITE,BUSINESS LICENSE/PERMITS,,,15569.0,15569.0,,,,,0,15569.0,,3,Phase shown under TEMP FIRE - SITE INFRASTRUCTURE subtotal label; abbreviated to SITE per row marker.
045,2/28/2026,SITE,CCIP,,,93072.0,93072.0,82117.0,,,82117.0,88,10955.0,,3,Phase shown under TEMP FIRE - SITE INFRASTRUCTURE subtotal label; abbreviated to SITE per row marker.
046,2/28/2026,SITE,SDI,,,45689.0,45689.0,40311.0,,,40311.0,88,5378.0,,3,Phase shown under TEMP FIRE - SITE INFRASTRUCTURE subtotal label; abbreviated to SITE per row marker.
047,2/28/2026,SITE,FEE,,,110818.0,110818.0,58660.0,8000.0,,66660.0,60,44158.0,,3,Phase shown under TEMP FIRE - SITE INFRASTRUCTURE subtotal label; abbreviated to SITE per row marker.
048,2/28/2026,FLTL,UNCOMMITTED SUB COST,,30096465.0,-648075.0,29448390.0,,,,,0,29448390.0,,3,
049,2/28/2026,FLTL,EARTHWORK & UTILITIES,LANDMARK,6943623.0,10007950.0,16951573.0,10514875.0,2000542.0,,12515417.0,74,4436156.0,625771.0,3,
050,2/28/2026,FLTL,PSI FLIGHTLINE PAVING,INDEPENDENCE PAVING,15230000.0,16864350.0,32094350.0,2937500.0,2437788.0,,5375288.0,17,26719062.0,268764.0,3,
051,2/28/2026,FLTL,DEMOLITION,DECO,580000.0,10575.0,590575.0,576912.0,,,576912.0,98,13663.0,28846.0,3,
052,2/28/2026,FLTL,PSQIC PROGRAM,INSIGHT,297500.0,297500.0,595000.0,,,,,0,595000.0,,3,Acronym OCR uncertain: 'PSQIC'.
053,2/28/2026,FLTL,BLAST DEFLECTORS,BULLZEYE,3966147.0,,3966147.0,1822019.0,,,1822019.0,46,2144128.0,91101.0,3,Contractor name OCR uncertain.
054,2/28/2026,FLTL,PERMANENT FENCING,MANER FENCING,175350.0,41384.0,216734.0,37880.0,,,37880.0,17,178854.0,1894.0,3,
055,2/28/2026,FLTL,DABICO AIRPORT SOLUTIONS,,3078222.0,4723758.0,7801980.0,2308666.0,845676.0,,3154342.0,40,4647638.0,,3,
056,2/28/2026,FLTL,ELECTRICAL,FEYEN ZYLSTRA,8946158.0,13258124.0,22204282.0,6581158.0,,,6581158.0,30,15623124.0,329058.0,3,
057,2/28/2026,FLTL,LANDSCAPING,YELLOWSTONE LANDSCAPE,230193.0,,230193.0,,,,,0,230193.0,,3,
058,2/28/2026,FLTL,STEEL,STELWORKS,2789144.0,,2789144.0,20000.0,135795.0,98209.0,254004.0,9,2535140.0,12700.0,3,Contractor name OCR uncertain: 'STELWORKS'.
059,2/28/2026,FLTL,MECHANICAL & PLUMBING,BELL CONSTRUCTORS,8592373.0,3503677.0,12096050.0,,,,,0,12096050.0,,3,
060,2/28/2026,FLTL,FLOORING,SOURCE ONE,233574.0,,233574.0,,,,,0,233574.0,,3,
061,2/28/2026,FLTL,"DOORS, FRAMES, HARDWARE",DHI COMMERCIAL,542100.0,,542100.0,27105.0,,,27105.0,5,514995.0,1355.0,3,
062,2/28/2026,FLTL,ELECTRICAL,H&A ELECTRICAL,10731678.0,,10731678.0,,81500.0,,81500.0,1,10650178.0,4075.0,3,
063,2/28/2026,FLTL,MILLWORK,COASTAL MILLWORK & SUPPLY,130451.0,,130451.0,,,,,0,130451.0,,3,
064,2/28/2026,FLTL,SITEWORK,GULFSTREAM,,161196.0,161196.0,,,,,0,161196.0,,3,
065,2/28/2026,FLTL,GENERAL REQUIREMENTS,,49713.0,1553532.0,1603245.0,,,,,0,1603245.0,,3,
066,2/28/2026,FLTL,GENERAL CONDITIONS,,5512938.0,36480.0,5549418.0,5512938.0,,,5512938.0,99,36480.0,,3,
067,2/28/2026,FLTL,BUILDERS RISK,,302197.0,134934.0,437131.0,,,,,0,437131.0,,3,
068,2/28/2026,FLTL,BUSINESS LICENSE/PERMITS,,72106.0,171061.0,243167.0,,,,,0,243167.0,,4,
069,2/28/2026,FLTL,CCIP,,3077932.0,1476519.0,4554451.0,3077932.0,,,3077932.0,68,1476519.0,,4,
070,2/28/2026,FLTL,SDI,,1510985.0,723396.0,2234381.0,1510985.0,,,1510985.0,68,723396.0,,4,
071,2/28/2026,FLTL,FEE,,3417968.0,1649454.0,5067422.0,1183354.0,140000.0,,1323354.0,26,3744068.0,,4,
072,2/28/2026,PTS,GENERAL REQUIREMENTS,,8345252.0,,8345252.0,,,,,0,8345252.0,,4,
073,2/28/2026,PTS,UNCOMMITTED SUB COST,,597237.0,,597237.0,597237.0,,,597237.0,100,0.0,,4,
074,2/28/2026,PTS,GENERAL CONDITIONS,,27540.0,,27540.0,,,,,0,27540.0,,4,
075,2/28/2026,PTS,BUILDERS RISK,,6571.0,,6571.0,,,,,0,6571.0,,4,
076,2/28/2026,PTS,BUSINESS LICENSE,,280501.0,,280501.0,280501.0,,,280501.0,100,0.0,,4,
077,2/28/2026,PTS,CCIP,,137701.0,,137701.0,137701.0,,,137701.0,100,0.0,,4,
078,2/28/2026,PTS,SDI,,311490.0,,311490.0,33695.0,,,33695.0,11,277795.0,,4,Item number appears as 079 in image; row numbering alignment near PTS section is slightly unclear.
080,2/28/2026,PKRD,UNCOMMITTED SUB COST,,9732550.0,8635826.0,18368376.0,,,,,0,18368376.0,,4,
081,2/28/2026,PKRD,ELECTRICAL,FEYEN ZYLSTRA,2348325.0,2198639.0,4546964.0,4231916.0,,,4231916.0,93,315048.0,211596.0,4,
082,2/28/2026,PKRD,EARTHWORK & UTILITIES SITE SOUTH,LANDMARK,12295493.0,3594292.0,15889785.0,13404360.0,2485425.0,,15889785.0,100,0.0,317796.0,4,
083,2/28/2026,PKRD,SOI PF,FEYEN ZYLSTRA,4157741.0,,4157741.0,,,,,0,4157741.0,,4,Description OCR uncertain.
084,2/28/2026,PKRD,SOIL SITEWORK & UTILITIES,GULFSTREAM,43827037.0,,43827037.0,,7650000.0,,7650000.0,17,36177037.0,,4,
085,2/28/2026,PKRD,ALLOWANCE - GATE ARMS AND GUARD RAIL,,,116012.0,116012.0,,,,,0,116012.0,,4,
086,2/28/2026,PKRD,ALLOWANCE - SECURITY BUILDING REFRESH,,,30000.0,30000.0,,,,,0,30000.0,,4,
087,2/28/2026,PKRD,ALLOWANCE - TEMP BATCH PLANT,,,1187905.0,1187905.0,,,,,0,1187905.0,,4,
088,2/28/2026,PKRD,GENERAL CONDITIONS,,5018960.0,30150.0,5049110.0,4699035.0,319925.0,,5018960.0,99,30150.0,,4,
089,2/28/2026,PKRD,GENERAL REQUIREMENTS,,9608.0,200.0,9808.0,,,,,0,9808.0,,4,
090,2/28/2026,PKRD,BUILDERS RISK,,238336.0,15872.0,254208.0,,,,,0,254208.0,,4,
091,2/28/2026,PKRD,BUSINESS LICENSE,,56869.0,2459.0,59328.0,,,,,0,59328.0,,4,
092,2/28/2026,PKRD,PERMITS,,,17467.0,17467.0,,,,,0,17467.0,,4,
093,2/28/2026,PKRD,CCIP,,2427503.0,428228.0,2855731.0,2695900.0,,,2695900.0,94,159831.0,,4,
094,2/28/2026,PKRD,SDI,,1191683.0,221559.0,1413242.0,1334780.0,,,1334780.0,94,78462.0,,4,
095,2/28/2026,PKRD,FEE,,2695682.0,523418.0,3219100.0,891151.0,335000.0,,1226151.0,38,1992949.0,,4,
096,2/28/2026,TEMP FIRE,UNCOMMITTED SUB COST,,,,,,,,,0,,,4,Current value not visible on provided image crop.
097,2/28/2026,TEMP FIRE,CONCRETE,LITHKO,,294249.0,294249.0,292166.0,,,292166.0,99,2083.0,14608.0,4,
098,2/28/2026,TEMP FIRE,ELECTRICAL,FEYEN ZYLSTRA,,127328.0,127328.0,119533.0,,,119533.0,94,7795.0,5977.0,4,
099,2/28/2026,TEMP FIRE,SITEWORK,OL THOMPSON,,706716.0,706716.0,601062.0,64803.0,,665865.0,94,40851.0,,4,
100,2/28/2026,TEMP FIRE,PERMANENT FENCING,MANER,,101700.0,101700.0,76000.0,,,76000.0,75,25700.0,,4,
101,2/28/2026,TEMP FIRE,EARTHWORK,LANDMARK,,40020.0,40020.0,40020.0,,,40020.0,100,0.0,,4,
102,2/28/2026,TEMP FIRE,GENERAL CONDITIONS,,,128004.0,128004.0,,,,,0,128004.0,,4,
103,2/28/2026,TEMP FIRE,GENERAL REQUIREMENTS,,,122497.0,122497.0,,,,,0,122497.0,,4,
104,2/28/26,TEMP FIRE - PARKING & ROADWAYS,DESIGN ESCALATION,,0.0,9527.0,9527.0,0.0,0.0,0.0,0.0,0,9527.0,0.0,5,
105,2/28/26,TEMP FIRE - PARKING & ROADWAYS,BUSINESS LICENSE-PERMITS,,0.0,2068.0,2068.0,0.0,0.0,0.0,0.0,0,2068.0,0.0,5,
106,2/28/26,TEMP FIRE - PARKING & ROADWAYS,BUILDERS RISK,,0.0,292.0,292.0,0.0,0.0,0.0,0.0,0,292.0,0.0,5,
107,2/28/26,TEMP FIRE - PARKING & ROADWAYS,CCIP,,0.0,26532.0,26532.0,15240.0,0.0,0.0,15240.0,57,11292.0,0.0,5,
108,2/28/26,TEMP FIRE - PARKING & ROADWAYS,SDI,,0.0,36588.0,36588.0,31045.0,0.0,0.0,31045.0,85,5543.0,0.0,5,
109,2/28/26,TEMP FIRE - PARKING & ROADWAYS,FEE,,0.0,50458.0,50458.0,37100.0,2500.0,0.0,39600.0,78,10858.0,0.0,5,
110,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,UNCOMMITTED SUB COST,,-160177741.0,162207299.0,2029558.0,0.0,0.0,0.0,0.0,0,2029558.0,0.0,5,
111,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,STRUCTURAL STEEL,C STEEL,102462000.0,20561677.0,123023677.0,48510319.0,4007640.0,1303789.0,53821748.0,44,69201929.0,2691087.0,5,
112,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,IMP,M&RD,8193666.0,1800.0,8194466.0,64412.0,0.0,0.0,64412.0,1,8130054.0,3221.0,5,
113,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,HANGER DOORS,INTERNATIONAL DOOR,13104689.0,1689332.0,14794021.0,95022.0,0.0,0.0,95022.0,6,14698999.0,47501.0,5,
114,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,DEEP FOUNDATIONS,CASSONS BAUER,8003550.0,2163700.0,10167250.0,5660055.0,1910138.0,19528.0,7589721.0,84,2577529.0,429486.0,5,
115,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,BRIDGE CRANES,AMERICAN CRANE,73819000.0,0.0,73819000.0,8795258.0,1113900.0,0.0,9909158.0,13,63909842.0,495458.0,5,
116,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,ELEVATORS,SCHINDLER,9000000.0,82999.0,9082999.0,3234429.0,0.0,0.0,3234429.0,36,5848570.0,161721.0,5,
117,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,SITE MEDIUM VOLTAGE,ELDECO,22130190.0,0.0,22130190.0,7409469.0,0.0,0.0,7409469.0,33,14720721.0,370473.0,5,
118,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,CONCRETE BATCH PLANT,CONCRETE SUPPLY,324406.0,0.0,324406.0,0.0,0.0,0.0,0.0,0,324406.0,0.0,5,
119,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,CIC CONCRETE,WAYNE BROTHERS,41452021.0,311080.0,41763101.0,4855240.0,3227787.0,0.0,8083027.0,19,33680074.0,404151.0,5,
120,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,SITEWORK & EXCAVATION,OL THOMPSON,26636786.0,231739.0,26868525.0,11205871.0,4211940.0,0.0,15417757.0,57,11450768.0,770888.0,5,
121,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,PRECAST CONCRETE PANELS,FLORENCE CONCRETE,1440001.0,2195.0,1442196.0,116400.0,407751.0,0.0,524151.0,36,918045.0,26208.0,5,
122,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,ROOFING,AAR OF NORTH CAROLINA,653464.0,62430.0,715894.0,0.0,0.0,0.0,0.0,0,715894.0,0.0,5,
123,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,TRANSLUCENT PANELS,CAROLINA ARCHITECTURAL PRODUCTS,1403310.0,4770.0,1408080.0,121576.0,0.0,0.0,121576.0,8,1286504.0,6079.0,5,
124,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,MECHANICAL & PLUMBING,BELL CONSTRUCTORS,95619000.0,0.0,95619000.0,4063414.0,286857.0,0.0,4340998.0,5,91278002.0,217500.0,5,
125,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,FIRE PROTECTION,SHAMBAUGH & SON,14347720.0,0.0,14347720.0,135000.0,45000.0,0.0,180000.0,1,14167720.0,9000.0,5,
126,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,ELECTRICAL/FIRE ALARM SYSTEM,ELDECO,163284605.0,0.0,163284605.0,27676428.0,787914.0,0.0,28464342.0,17,134820263.0,1423217.0,5,
127,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,STRUCTURAL STEEL TUNNEL LIDS,STEELFAB,2350950.0,0.0,2350950.0,251250.0,0.0,0.0,251250.0,1,2099700.0,12563.0,5,
128,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,STRUCTURAL PAINTING,SOUTHERN PAINTING,7875000.0,0.0,7875000.0,0.0,0.0,0.0,0.0,0,7875000.0,0.0,5,
129,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,GLASS AND GLAZING,GLASSCORP,6101008.0,0.0,6101008.0,1668334.0,51874.0,0.0,1720208.0,28,4380800.0,86010.0,5,
130,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,TEMPORARY MATERIAL HOIST,MASTCLIMBERS,1303828.0,0.0,1303828.0,0.0,0.0,0.0,0.0,0,1303828.0,0.0,5,
131,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,MASONRY,OLD NORTH STATE MASONRY,860750.0,0.0,860750.0,0.0,0.0,0.0,0.0,0,860750.0,0.0,5,
132,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,DOORS AND HARDWARE,UNIFIED DOORS,1661164.0,0.0,1661164.0,0.0,0.0,0.0,0.0,0,1661164.0,0.0,5,
133,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,OVERHEAD DOOR,MINER CORP,1347694.0,0.0,1347694.0,0.0,0.0,0.0,0.0,0,1347694.0,0.0,5,
134,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,COMPRESSED AIR SYSTEM,ICON MECHANICAL,10279734.0,0.0,10279734.0,0.0,0.0,0.0,0.0,0,10279734.0,0.0,5,
135,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,KITCHEN EQUIPMENT,INGER T&L,1327895.0,0.0,1327895.0,0.0,0.0,0.0,0.0,0,1327895.0,0.0,5,
136,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,RESIDENTIAL EQUIPMENT,SINGER T&L,346800.0,0.0,346800.0,0.0,0.0,0.0,0.0,0,346800.0,0.0,5,
137,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,"FRAMING, DRYWALL ACOUSTIC",ROCKSPRING,7796500.0,0.0,7796500.0,0.0,0.0,0.0,0.0,0,7796500.0,0.0,5,
138,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,"FRAMING, DRYWALL ACOUSTIC",PRECISION,8023338.0,0.0,8023338.0,0.0,0.0,0.0,0.0,0,8023338.0,0.0,5,
139,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,WIRE MESH PARTITION,CAROLINA MATERIAL HANDLING,443362.0,0.0,443362.0,0.0,0.0,0.0,0.0,0,443362.0,0.0,5,
